plan_id,commit_hash,short_hash,roles,path,status,additions,deletions,author_date
26,11ba78598b25840b5e415e7410b8df4b75c964c5,11ba785,plan-revision,Docs/Plans/26-AddAppleScriptSupport.md,M,34,6,2026-04-28T03:11:04-07:00
26,6811df91487bd977d74d60b43af798e9970e5d69,6811df9,plan-revision,Docs/Plans/26-AddAppleScriptSupport.md,M,39,5,2026-04-28T19:20:25-07:00
26,8053109fcb999ee4c2f8a060048b83dbfe4eed81,8053109,plan-revision,Docs/Plans/26-AddAppleScriptSupport.md,M,15,22,2026-05-20T14:05:10-07:00
27,987ade16137d70327f87ab16fcf3fc874681eba4,987ade1,creation,Docs/Plans/27-TrackTagsRefactor.md,A,280,0,2026-04-30T01:57:32-07:00
28,452263137775f01b3d4877c28d37aad4dce7884d,4522631,creation,Docs/Plans/28-AddSwiftTagUseDocumentation.md,A,685,0,2026-05-13T13:05:14-07:00
28,8053109fcb999ee4c2f8a060048b83dbfe4eed81,8053109,plan-revision,Docs/Plans/28-AddSwiftTagUseDocumentation.md,M,7,9,2026-05-20T14:05:10-07:00
28,a3d4895796afa545efc1d3c39379220da2c616f3,a3d4895,plan-revision,Docs/Plans/28-AddSwiftTagUseDocumentation.md,M,1,1,2026-05-25T21:45:30-07:00
28,7a19911399e2e3a8b7ff2d239319a658e793346c,7a19911,plan-revision,Docs/Plans/28-AddSwiftTagUseDocumentation.md,M,1,1,2026-05-25T22:03:59-07:00
28,477665910577c41766377204a1abfc8cc7f0dd6d,4776659,plan-revision,Docs/Plans/28-AddSwiftTagUseDocumentation.md,M,1,1,2026-05-25T22:20:45-07:00
29,82c43c94fe7392a5e5551ef1a311c150006ab0f3,82c43c9,creation,Docs/Plans/29-AddSandboxSettings.md,A,610,0,2026-05-16T16:09:55-07:00
30,d2843d58d7c77e0470d1b467eacf8a956665e2c9,d2843d5,creation,Docs/Plans/30-AutoUpdateTrackTotalByDisc.md,A,502,0,2026-06-15T15:22:40-07:00
31,7228297fdfbf05a87af30e5330fdcdd1e908dd84,7228297,creation,Docs/Plans/31-SetTrackNumbersAndSortTracks.md,A,446,0,2026-06-17T00:09:06-07:00
32,88d09498e62eed6f088450eb0cf1ec3129a7ad34,88d0949,creation,Docs/Plans/32-AutoUpdateDiscTotal.md,A,487,0,2026-06-17T11:00:06-07:00
33,29444d740b06ee147a5690f1070d56abfa8be162,29444d7,creation,Docs/Plans/33-AddTrackFileRename.md,A,982,0,2026-06-19T18:07:57-07:00
