plan_id,display_title,numeric_order,version_count,source_plan_ids,source_paths,current_source_id,current_source_path,current_source_line_count,creation_commit_id,revision_commit_ids,implementation_commit_ids,transcript_archive_commit_ids,associated_commit_ids,associated_transcript_ids,parent_theme_ids,revision_additions,revision_deletions,direct_plan_lines,direct_transcript_lines,implementation_transcript_lines,implementation_code_lines,implementation_test_lines,implementation_documentation_lines,direct_visible_elapsed_seconds,implementation_visible_elapsed_seconds,total_visible_conversation_elapsed_seconds,total_assistant_processing_seconds,total_user_response_seconds,back_and_forth_count,difficulty_inputs,difficulty_score,difficulty_label,difficulty_weight_coverage,first_evidence_date,last_evidence_date,confidence_score,warning_count
11,Add Multi Picture Per Track Support Plan,11,4,"[""11-v1-AddMultiPicturePerTrackSupport"", ""11-v2-AddMultiPicturePerTrackSupport"", ""11-v3-AddMultiPicturePerTrackSupport"", ""11-v4-AddMultiPicturePerTrackSupport""]","[""Docs/Plans/11-v1-AddMultiPicturePerTrackSupport.md"", ""Docs/Plans/11-v2-AddMultiPicturePerTrackSupport.md"", ""Docs/Plans/11-v3-AddMultiPicturePerTrackSupport.md"", ""Docs/Plans/11-v4-AddMultiPicturePerTrackSupport.md""]",11-v4-AddMultiPicturePerTrackSupport,Docs/Plans/11-v4-AddMultiPicturePerTrackSupport.md,205,9e1ce62bf296678be8aa16075285d1f9e0cb453c,"[""9e1ce62bf296678be8aa16075285d1f9e0cb453c"", ""68e340f508e0f0f5b0ac2fbbcae259abf6155b6e"", ""b4593bad7a73d4737a89fa81f52b0a0c853f2bce""]","[""1e4ea8e60ed212c41a1f3f43a972ccad5855a07a"", ""2aee7213d2467ac765cf2f834b3e8b0a5409064e"", ""2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974"", ""68e340f508e0f0f5b0ac2fbbcae259abf6155b6e"", ""9e1ce62bf296678be8aa16075285d1f9e0cb453c"", ""a0438824397c29c96ca6c63b48ef501b5d63dffe"", ""b4593bad7a73d4737a89fa81f52b0a0c853f2bce"", ""ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7"", ""f36a117c021f535e956e2d1722625465cd66b2f3""]","[""9e1ce62bf296678be8aa16075285d1f9e0cb453c"", ""68e340f508e0f0f5b0ac2fbbcae259abf6155b6e"", ""b4593bad7a73d4737a89fa81f52b0a0c853f2bce"", ""f36a117c021f535e956e2d1722625465cd66b2f3"", ""2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974"", ""ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7"", ""2aee7213d2467ac765cf2f834b3e8b0a5409064e"", ""a0438824397c29c96ca6c63b48ef501b5d63dffe""]","[""1e4ea8e60ed212c41a1f3f43a972ccad5855a07a"", ""2aee7213d2467ac765cf2f834b3e8b0a5409064e"", ""2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974"", ""68e340f508e0f0f5b0ac2fbbcae259abf6155b6e"", ""9e1ce62bf296678be8aa16075285d1f9e0cb453c"", ""a0438824397c29c96ca6c63b48ef501b5d63dffe"", ""b4593bad7a73d4737a89fa81f52b0a0c853f2bce"", ""ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7"", ""f36a117c021f535e956e2d1722625465cd66b2f3""]","[""transcript-2026-03-21-1-11-AddMultiPicturePerTrackSupport"", ""transcript-2026-03-22-1-11-AddMultiPicturePerTrackSupport"", ""transcript-2026-03-23-1-11-AddMultiPicturePerTrackSupport"", ""transcript-2026-03-24-1-11-AddMultiPicturePerTrackSupport"", ""transcript-2026-03-26-1-11-AddMultiPicturePerTrackSupport""]","[""picture""]",938,0,205,456.92464168779156,1728.0753583122082,3449.0,1546.0,0.0,43430.0,256600.0,300030.0,16596.0,283434.0,63.0,"{""assistant_processing_time"": 16596.0, ""back_and_forth_count"": 63.0, ""code_lines"": 3449.0, ""elapsed_time"": 300030.0, ""plan_lines"": 205, ""transcript_lines"": 2185.0}",90.3,Very High,1.0,2026-03-21,2026-03-26,1.0,0
12,Add FLAC Document Open Support Plan,12,1,"[""12-AddFLACDocumentOpenSupport""]","[""Docs/Plans/12-AddFLACDocumentOpenSupport.md""]",12-AddFLACDocumentOpenSupport,Docs/Plans/12-AddFLACDocumentOpenSupport.md,142,bba775b507acd848d8bea0c67609752e0d812194,[],"[""bba775b507acd848d8bea0c67609752e0d812194""]","[""bba775b507acd848d8bea0c67609752e0d812194""]","[""bba775b507acd848d8bea0c67609752e0d812194""]","[""transcript-2026-03-31-1-12-AddFLACDocumentOpenSupport""]","[""project"", ""swifttag-document""]",142,0,142,112.38860103626942,285.61139896373055,413.0,203.0,0.0,21628.0,23035.0,44663.0,2948.0,41715.0,12.0,"{""assistant_processing_time"": 2948.0, ""back_and_forth_count"": 12.0, ""code_lines"": 413.0, ""elapsed_time"": 44663.0, ""plan_lines"": 142, ""transcript_lines"": 398.0}",53.94,High,1.0,2026-03-31,2026-04-01,1.0,0
13,Add FLAC Fingerprint Support Plan,13,1,"[""13-AddFLACFingerprintSupport""]","[""Docs/Plans/13-AddFLACFingerprintSupport.md""]",13-AddFLACFingerprintSupport,Docs/Plans/13-AddFLACFingerprintSupport.md,133,da7b04f7563351b6c4c0883dbcbc16a5e081336a,[],"[""da7b04f7563351b6c4c0883dbcbc16a5e081336a""]","[""da7b04f7563351b6c4c0883dbcbc16a5e081336a""]","[""da7b04f7563351b6c4c0883dbcbc16a5e081336a""]","[""transcript-2026-04-01-1-13-AddFLACFingerprintSupport""]","[""flac-lib"", ""tags""]",133,0,133,64.0,32.0,145.0,139.0,1.0,3205.0,490.0,3695.0,655.0,3040.0,3.0,"{""assistant_processing_time"": 655.0, ""back_and_forth_count"": 3.0, ""code_lines"": 145.0, ""elapsed_time"": 3695.0, ""plan_lines"": 133, ""transcript_lines"": 96.0}",16.82,Low,1.0,2026-04-01,2026-04-01,1.0,0
14,Add Compilation Tag Plan,14,1,"[""14-AddCompilationTag""]","[""Docs/Plans/14-AddCompilationTag.md""]",14-AddCompilationTag,Docs/Plans/14-AddCompilationTag.md,196,90ef077070ed157959eed236c4a5edfc023423b8,[],"[""90ef077070ed157959eed236c4a5edfc023423b8""]","[""90ef077070ed157959eed236c4a5edfc023423b8""]","[""90ef077070ed157959eed236c4a5edfc023423b8""]","[""transcript-2026-04-02-1-14-AddCompilationTag""]","[""tags""]",196,0,196,76.66666666666669,61.333333333333336,270.0,215.0,3.0,3616.0,15918.0,19534.0,1060.0,18474.0,6.0,"{""assistant_processing_time"": 1060.0, ""back_and_forth_count"": 6.0, ""code_lines"": 270.0, ""elapsed_time"": 19534.0, ""plan_lines"": 196, ""transcript_lines"": 138.00000000000003}",35.61,Moderate,1.0,2026-04-01,2026-04-02,1.0,0
15,Add SwiftTag Document Creation Plan,15,1,"[""15-AddSwiftTagDocumentCreation""]","[""Docs/Plans/15-AddSwiftTagDocumentCreation.md""]",15-AddSwiftTagDocumentCreation,Docs/Plans/15-AddSwiftTagDocumentCreation.md,301,1276536d7ce542d757187ed8e2a7a229c6741847,[],"[""1276536d7ce542d757187ed8e2a7a229c6741847"", ""bf6d257c8a9a96ec6846d3cac38bd49afd54f83a""]","[""bf6d257c8a9a96ec6846d3cac38bd49afd54f83a""]","[""1276536d7ce542d757187ed8e2a7a229c6741847"", ""bf6d257c8a9a96ec6846d3cac38bd49afd54f83a""]","[""transcript-2026-04-02-1-15-AddSwiftTagDocumentCreation""]","[""picture"", ""swifttag-document"", ""tags""]",301,0,301,173.69444444444446,270.30555555555554,1081.0,436.0,0.0,79973.0,12427.0,92400.0,3148.0,89252.0,11.0,"{""assistant_processing_time"": 3148.0, ""back_and_forth_count"": 11.0, ""code_lines"": 1081.0, ""elapsed_time"": 92400.0, ""plan_lines"": 301, ""transcript_lines"": 444.0}",72.88,High,1.0,2026-04-02,2026-04-03,1.0,0
16,Add SwiftTag Document Read Plan,16,1,"[""16-AddSwiftTagDocumentRead""]","[""Docs/Plans/16-AddSwiftTagDocumentRead.md""]",16-AddSwiftTagDocumentRead,Docs/Plans/16-AddSwiftTagDocumentRead.md,200,1c2bb82cfcda4a8e4043b7e883e42928b18064cf,[],"[""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""633671ae999d222fba32fde71594440b8b367350"", ""bc1eaf01993b5f6ef2cc64eef0f6dd4fe66824de"", ""d0fca7dec639c9bd9845c8efb59147ccd1016e26""]","[""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""633671ae999d222fba32fde71594440b8b367350"", ""d0fca7dec639c9bd9845c8efb59147ccd1016e26"", ""bc1eaf01993b5f6ef2cc64eef0f6dd4fe66824de"", ""575c54bdaeb6d9eda3326eedccc6e2395422094e""]","[""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""633671ae999d222fba32fde71594440b8b367350"", ""bc1eaf01993b5f6ef2cc64eef0f6dd4fe66824de"", ""d0fca7dec639c9bd9845c8efb59147ccd1016e26""]","[""transcript-2026-04-04-1-16-AddSwiftTagDocumentRead"", ""transcript-2026-04-04-1-17-SwiftTagDocumentReadLiveFileResolution"", ""transcript-2026-04-05-1-SwiftTagDocumentReopenFix""]","[""swifttag-document"", ""tags""]",200,0,200,57.05095541401274,740.6229576294654,915.5,1003.5,0.0,1356.0,21610.0,22966.0,8170.0,14796.0,18.0,"{""assistant_processing_time"": 8170.0, ""back_and_forth_count"": 18.0, ""code_lines"": 915.5, ""elapsed_time"": 22966.0, ""plan_lines"": 200, ""transcript_lines"": 797.6739130434781}",68.33,High,1.0,2026-04-04,2026-04-05,1.0,0
17,SwiftTag Document Read Live File Resolution Plan,17,1,"[""17-SwiftTagDocumentReadLiveFileResolution""]","[""Docs/Plans/17-SwiftTagDocumentReadLiveFileResolution.md""]",17-SwiftTagDocumentReadLiveFileResolution,Docs/Plans/17-SwiftTagDocumentReadLiveFileResolution.md,208,d0fca7dec639c9bd9845c8efb59147ccd1016e26,[],"[""d0fca7dec639c9bd9845c8efb59147ccd1016e26"", ""633671ae999d222fba32fde71594440b8b367350""]","[""d0fca7dec639c9bd9845c8efb59147ccd1016e26""]","[""633671ae999d222fba32fde71594440b8b367350"", ""d0fca7dec639c9bd9845c8efb59147ccd1016e26""]","[""transcript-2026-04-04-1-17-SwiftTagDocumentReadLiveFileResolution""]","[""diff"", ""swifttag-document"", ""tags""]",208,0,208,59.89130434782608,45.43478260869565,157.5,144.5,0.0,3270.0,869.0,4139.0,1315.0,2824.0,3.0,"{""assistant_processing_time"": 1315.0, ""back_and_forth_count"": 3.0, ""code_lines"": 157.5, ""elapsed_time"": 4139.0, ""plan_lines"": 208, ""transcript_lines"": 105.32608695652172}",23.33,Low,1.0,2026-04-04,2026-04-04,1.0,0
18,Update Window Title Text Plan,18,1,"[""18-UpdateWindowTitleText""]","[""Docs/Plans/18-UpdateWindowTitleText.md""]",18-UpdateWindowTitleText,Docs/Plans/18-UpdateWindowTitleText.md,250,41e60a87d8b66f2a9ba012f5c5d11b525ab7c759,[],"[""41e60a87d8b66f2a9ba012f5c5d11b525ab7c759""]","[""41e60a87d8b66f2a9ba012f5c5d11b525ab7c759""]","[""41e60a87d8b66f2a9ba012f5c5d11b525ab7c759""]","[""transcript-2026-04-06-1-18-UpdateWindowTitleText""]",[],250,0,250,120.90000000000002,251.10000000000002,241.0,738.0,0.0,46966.0,13203.0,60169.0,6889.0,53280.0,12.0,"{""assistant_processing_time"": 6889.0, ""back_and_forth_count"": 12.0, ""code_lines"": 241.0, ""elapsed_time"": 60169.0, ""plan_lines"": 250, ""transcript_lines"": 372.00000000000006}",55.3,High,1.0,2026-04-06,2026-04-06,1.0,0
19,Add SwiftTag Document Save Options Plan,19,1,"[""19-AddSwiftTagDocumentSaveOptions""]","[""Docs/Plans/19-AddSwiftTagDocumentSaveOptions.md""]",19-AddSwiftTagDocumentSaveOptions,Docs/Plans/19-AddSwiftTagDocumentSaveOptions.md,263,27b4d85ec22c4165acb415ef3929bd10d4c35202,"[""603c07621916ecd47e1a9faee08d8c32cd6eebdf"", ""4e470f0885282d2dfa9bcfc38252ea229589132c""]","[""27b4d85ec22c4165acb415ef3929bd10d4c35202""]","[""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""603c07621916ecd47e1a9faee08d8c32cd6eebdf"", ""4e470f0885282d2dfa9bcfc38252ea229589132c""]","[""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""4e470f0885282d2dfa9bcfc38252ea229589132c"", ""603c07621916ecd47e1a9faee08d8c32cd6eebdf""]","[""transcript-2026-04-07-3-19-AddSwiftTagDocumentSaveOptions"", ""transcript-2026-04-08-1-20-AddSwiftTagDocumentSaveOptions"", ""transcript-2026-04-10-2-22-AddSwiftTagDocumentSaveOptions""]","[""save"", ""swifttag-document"", ""tags""]",789,0,263,75.86274509803923,242.1372549019608,233.0,447.0,0.0,5482.0,13339.0,18821.0,4631.0,14190.0,6.0,"{""assistant_processing_time"": 4631.0, ""back_and_forth_count"": 6.0, ""code_lines"": 233.0, ""elapsed_time"": 18821.0, ""plan_lines"": 263, ""transcript_lines"": 318.0}",45.76,Moderate,1.0,2026-04-07,2026-04-10,1.0,0
20,Add Window-Close SwiftTag Document Save Options Plan,20,1,"[""20-AddSwiftTagDocumentSaveOptions""]","[""Docs/Plans/20-AddSwiftTagDocumentSaveOptions.md""]",20-AddSwiftTagDocumentSaveOptions,Docs/Plans/20-AddSwiftTagDocumentSaveOptions.md,287,27b4d85ec22c4165acb415ef3929bd10d4c35202,"[""603c07621916ecd47e1a9faee08d8c32cd6eebdf"", ""4e470f0885282d2dfa9bcfc38252ea229589132c""]","[""603c07621916ecd47e1a9faee08d8c32cd6eebdf""]","[""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""603c07621916ecd47e1a9faee08d8c32cd6eebdf"", ""4e470f0885282d2dfa9bcfc38252ea229589132c""]","[""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""4e470f0885282d2dfa9bcfc38252ea229589132c"", ""603c07621916ecd47e1a9faee08d8c32cd6eebdf""]","[""transcript-2026-04-07-3-19-AddSwiftTagDocumentSaveOptions"", ""transcript-2026-04-08-1-20-AddSwiftTagDocumentSaveOptions"", ""transcript-2026-04-10-2-22-AddSwiftTagDocumentSaveOptions""]","[""save"", ""swifttag-document"", ""tags""]",789,0,287,68.64179104477613,77.35820895522389,580.0,224.0,0.0,5565.0,3379.0,8944.0,1248.0,7696.0,4.0,"{""assistant_processing_time"": 1248.0, ""back_and_forth_count"": 4.0, ""code_lines"": 580.0, ""elapsed_time"": 8944.0, ""plan_lines"": 287, ""transcript_lines"": 146.0}",43.79,Moderate,1.0,2026-04-07,2026-04-10,1.0,0
21,Add SwiftTag Document Bookmark Plan,21,1,"[""21-AddSwiftTagDocumentBookmark""]","[""Docs/Plans/21-AddSwiftTagDocumentBookmark.md""]",21-AddSwiftTagDocumentBookmark,Docs/Plans/21-AddSwiftTagDocumentBookmark.md,232,561817a4bca220d705273d6744f1e5756cec418f,[],"[""561817a4bca220d705273d6744f1e5756cec418f"", ""096d27739611fe6d978a8e683283c1ec3de7c030""]","[""561817a4bca220d705273d6744f1e5756cec418f""]","[""096d27739611fe6d978a8e683283c1ec3de7c030"", ""561817a4bca220d705273d6744f1e5756cec418f""]","[""transcript-2026-04-09-2-21-AddSwiftTagDocumentBookmark""]","[""swifttag-document"", ""tags""]",232,0,232,54.38121546961326,100.23204419889504,790.0,313.0,0.0,2193.0,3495.0,5688.0,2265.0,3423.0,3.0,"{""assistant_processing_time"": 2265.0, ""back_and_forth_count"": 3.0, ""code_lines"": 790.0, ""elapsed_time"": 5688.0, ""plan_lines"": 232, ""transcript_lines"": 154.6132596685083}",45.3,Moderate,1.0,2026-04-09,2026-04-09,1.0,0
